employer                 ,outstanding months, Name of Fund
Pvz Security and Cleaning Services                        , 87  ,  Private Security Sector Provident Fund
Rania Security Services                                   , 87  ,  Private Security Sector Provident Fund
SNPRP Security                                            , 87  ,  Private Security Sector Provident Fund
The Security Company                                      , 87  ,  Private Security Sector Provident Fund
Blouberg                                                  , 86  ,  Municipal Councillors Pension Fund
Back-line Security and Cleaning Services                  , 86  ,  Private Security Sector Provident Fund
Elason pro-Active Security (Pty) Ltd                      , 86  ,  Private Security Sector Provident Fund
Manchatlala Security Services CC                          , 86  ,  Private Security Sector Provident Fund
Parkers Anti Intrusion System CC                          , 86  ,  Private Security Sector Provident Fund
Point Blank Security                                      , 86  ,  Private Security Sector Provident Fund
Real Security CC                                          , 86  ,  Private Security Sector Provident Fund
TJ Motaung Security and Cleaning Services                                                  , 86  ,  Private Security Sector Provident Fund
Triple n Security Specialist                              , 86  ,  Private Security Sector Provident Fund
Calvin and Family Security Services                       , 85  ,  Private Security Sector Provident Fund
Diligence Services Group                                  , 85  ,  Private Security Sector Provident Fund
High powered Security Services CC                         , 85  ,  Private Security Sector Provident Fund
Inyanga Logistics and Protection                          , 85  ,  Private Security Sector Provident Fund
Khalima Security Services                                 , 85  ,  Private Security Sector Provident Fund
Kuru Security Services CC                                 , 85  ,  Private Security Sector Provident Fund
Mcje Trading and Projects CC                              , 85  ,  Private Security Sector Provident Fund
Nicori Security Services                                  , 85  ,  Private Security Sector Provident Fund
Nyatsi Security Services                                  , 85  ,  Private Security Sector Provident Fund
Omega Risk Solutions - Cape Region                        , 85  ,  Private Security Sector Provident Fund
Reamogetswe Security Services                             , 85  ,  Private Security Sector Provident Fund
Scheme Security Services                                  , 85  ,  Private Security Sector Provident Fund
Silver Solutions                                          , 85  ,  Private Security Sector Provident Fund
Siphenkosi Protection Services                            , 85  ,  Private Security Sector Provident Fund
Skycon Investments                                        , 85  ,  Private Security Sector Provident Fund
Target Risk Management                                    , 85  ,  Private Security Sector Provident Fund
Thathakhona Security Solutions CC                         , 85  ,  Private Security Sector Provident Fund
Tshikani primary Security Services                        , 85  ,  Private Security Sector Provident Fund
Yellow Star Trading                                       , 85  ,  Private Security Sector Provident Fund
Mochochonono                                              , 85  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund
Pinzon Traders 4 (Pty) Ltd                                , 84  ,  SACCAWU National Provident Fund
Amahlo Consulting Services                                , 84  ,  Private Security Sector Provident Fund
City bowl Armed Response CC                               , 84  ,  Private Security Sector Provident Fund
Econocom 671 CC                                           , 84  ,  Private Security Sector Provident Fund
FBI Trading Enterprise t/a FBL Protection Services                                                  , 84  ,  Private Security Sector Provident Fund
HC Hancke                                                 , 84  ,  Private Security Sector Provident Fund
KMP Security 1 CC                                         , 84  ,  Private Security Sector Provident Fund
Legosec International CC                                  , 84  ,  Private Security Sector Provident Fund
Letjane Trading Enterprise CC                             , 84  ,  Private Security Sector Provident Fund
Mandlomkhonto Security (Pty) Ltd                          , 84  ,  Private Security Sector Provident Fund
Nyarhi Protection Unit                                    , 84  ,  Private Security Sector Provident Fund
Perfect Protection Services                               , 84  ,  Private Security Sector Provident Fund
Peuloane Security                                         , 84  ,  Private Security Sector Provident Fund
Qomkufa Trading CC                                        , 84  ,  Private Security Sector Provident Fund
Real Transformation CC                                    , 84  ,  Private Security Sector Provident Fund
Security Closure Services 1CC                             , 84  ,  Private Security Sector Provident Fund
Ships of Tarshish CC                                      , 84  ,  Private Security Sector Provident Fund
Simamkele Security Services                               , 84  ,  Private Security Sector Provident Fund
Sophie and Jappie Trading Enterprise t/a s&j Trading Enterprise                                    , 84  ,  Private Security Sector Provident Fund
888 PMS Security                                          , 83  ,  Private Security Sector Provident Fund
Bargain Security CC                                       , 83  ,  Private Security Sector Provident Fund
D Shomolekae Security CC                                  , 83  ,  Private Security Sector Provident Fund
Ditaung Security Services and Projects CC                 , 83  ,  Private Security Sector Provident Fund
Farmguard Security                                        , 83  ,  Private Security Sector Provident Fund
Ivhani Trading CC                                         , 83  ,  Private Security Sector Provident Fund
Kharitsho Trading                                         , 83  ,  Private Security Sector Provident Fund
Moshabi Security                                          , 83  ,  Private Security Sector Provident Fund
Reho Security Noordkus CC                                 , 83  ,  Private Security Sector Provident Fund
Technofacture 201 CC                                      , 83  ,  Private Security Sector Provident Fund
Vision Tactical                                           , 83  ,  Private Security Sector Provident Fund
Xiphos Security Services                                  , 83  ,  Private Security Sector Provident Fund
Thaba Nchu Abattoir                                       , 82  ,  SACCAWU National Provident Fund
Baeti Investments (Pty) Ltd                               , 82  ,  Private Security Sector Provident Fund
Dambuza Logistics Services CC                             , 82  ,  Private Security Sector Provident Fund
Echotek Electronics                                       , 82  ,  Private Security Sector Provident Fund
FCL Security Services                                     , 82  ,  Private Security Sector Provident Fund
Grenade Security Services                                 , 82  ,  Private Security Sector Provident Fund
Kratos Security and Surveillance Services (Pty) Ltd                                                 , 82  ,  Private Security Sector Provident Fund
Lizavert Security                                         , 82  ,  Private Security Sector Provident Fund
Mauic Security Services                                   , 82  ,  Private Security Sector Provident Fund
MMK Security & Cleaning Services                          , 82  ,  Private Security Sector Provident Fund
Phambili Rens Security Services                           , 82  ,  Private Security Sector Provident Fund
Rebone Tsohle Trading and Projects                        , 82  ,  Private Security Sector Provident Fund
Red Security                                              , 82  ,  Private Security Sector Provident Fund
Romula Business Enterprise                                , 82  ,  Private Security Sector Provident Fund
Samurai Security Services                                 , 82  ,  Private Security Sector Provident Fund
Scorpion Security technologies                            , 82  ,  Private Security Sector Provident Fund
Seng'khona Security Services                              , 82  ,  Private Security Sector Provident Fund
Slovo's Protection Services                               , 82  ,  Private Security Sector Provident Fund
South African Marshall                                    , 82  ,  Private Security Sector Provident Fund
Thinga Security Training Services                         , 82  ,  Private Security Sector Provident Fund
Tshithikho Supply and Security CC                         , 82  ,  Private Security Sector Provident Fund
EMB Colour                                                , 82  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund
Careli Agency CC                                          , 81  ,  Private Security Sector Provident Fund
Dexawise Security Solutions                               , 81  ,  Private Security Sector Provident Fund
Eagle Security Systems Guarding Division                  , 81  ,  Private Security Sector Provident Fund
John Faza Enterprises                                     , 81  ,  Private Security Sector Provident Fund
LSG Projects CC                                           , 81  ,  Private Security Sector Provident Fund
Maduna Trading Zone 1CC                                   , 81  ,  Private Security Sector Provident Fund
Makgauta Business Enterprise                              , 81  ,  Private Security Sector Provident Fund
Mokoae Construction and civil t/a Eagle Wing Security intelligence                                , 81  ,  Private Security Sector Provident Fund
Nduza Cleaning and Security Services                      , 81  ,  Private Security Sector Provident Fund
Occusec Security Services                                 , 81  ,  Private Security Sector Provident Fund
RRA Trading                                               , 81  ,  Private Security Sector Provident Fund
SE Services                                               , 81  ,  Private Security Sector Provident Fund
Safeguard Squad                                           , 81  ,  Private Security Sector Provident Fund
Scorpion Tactical SA                                      , 81  ,  Private Security Sector Provident Fund
Suiderkruis Security (Pty) Ltd                            , 81  ,  Private Security Sector Provident Fund
Kontiki CC                                                , 81  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Buffalo City Metro Municipality                           , 80  ,  Municipal Councillors Pension Fund
Nyandeni                                                  , 80  ,  Municipal Councillors Pension Fund
Matjhabeng                                                , 80  ,  Municipal Councillors Pension Fund
Metsimaholo                                               , 80  ,  Municipal Councillors Pension Fund
Jozini                                                    , 80  ,  Municipal Councillors Pension Fund
Umgungundlovu                                             , 80  ,  Municipal Councillors Pension Fund
Umtshezi                                                  , 80  ,  Municipal Councillors Pension Fund
Zululand                                                  , 80  ,  Municipal Councillors Pension Fund
Dr Ruth Mompati                                           , 80  ,  Municipal Councillors Pension Fund
Kagisano Molopo                                           , 80  ,  Municipal Councillors Pension Fund
City of Matlosana                                         , 80  ,  Municipal Councillors Pension Fund
Embo Security Services                                    , 80  ,  Private Security Sector Provident Fund
High Goals Investments CC                                 , 80  ,  Private Security Sector Provident Fund
KZN VIP Protection Services CC                            , 80  ,  Private Security Sector Provident Fund
Lekang Projects and Security Services CC                  , 80  ,  Private Security Sector Provident Fund
Masakheni Isizwe Trading Enterprise                       , 80  ,  Private Security Sector Provident Fund
Momacha Holdings                                          , 80  ,  Private Security Sector Provident Fund
Orion Security Services                                   , 80  ,  Private Security Sector Provident Fund
Petbon Trading                                            , 80  ,  Private Security Sector Provident Fund
Proshield Security                                        , 80  ,  Private Security Sector Provident Fund
RTS Security and Projects                                 , 80  ,  Private Security Sector Provident Fund
Section One Protection Services                           , 80  ,  Private Security Sector Provident Fund
Siyanivikela Security Services CC                         , 80  ,  Private Security Sector Provident Fund
Whisper Security Cleaning and Training Solutions                                                 , 80  ,  Private Security Sector Provident Fund
Deco Africa interior Projects CC                          , 80  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Maluti A Phofung                                          , 79  ,  Municipal Councillors Pension Fund
Ngwathe                                                   , 79  ,  Municipal Councillors Pension Fund
Umshwathi                                                 , 79  ,  Municipal Councillors Pension Fund
Umvoti                                                    , 79  ,  Municipal Councillors Pension Fund
Bothila Security Services                                 , 79  ,  Private Security Sector Provident Fund
CSS Security Services (Pty) Ltd                           , 79  ,  Private Security Sector Provident Fund
Echle                                                     , 79  ,  Private Security Sector Provident Fund
GW Protection Solutions and Services                      , 79  ,  Private Security Sector Provident Fund
Hayikabi Security                                         , 79  ,  Private Security Sector Provident Fund
JC Security                                               , 79  ,  Private Security Sector Provident Fund
Kgabu's Security (Pty) Ltd                                , 79  ,  Private Security Sector Provident Fund
Khululekani Security Services                             , 79  ,  Private Security Sector Provident Fund
Robertson Asset Protection Service t/a Raps Security Group                                       , 79  ,  Private Security Sector Provident Fund
True Joy Trading and Project                              , 79  ,  Private Security Sector Provident Fund
Ukuzimela Security Services                               , 79  ,  Private Security Sector Provident Fund
Vusela Risk Services                                      , 79  ,  Private Security Sector Provident Fund
Above and Beyond Trading                                  , 78  ,  Private Security Sector Provident Fund
Bremic Holdings (Pty) Ltd                                 , 78  ,  Private Security Sector Provident Fund
Eyamadube Trading Enterprise (Pty) Ltd                    , 78  ,  Private Security Sector Provident Fund
Gagu JB cash loan and Projects                            , 78  ,  Private Security Sector Provident Fund
Gijima MK Security Services                               , 78  ,  Private Security Sector Provident Fund
Gravity Protection Services                               , 78  ,  Private Security Sector Provident Fund
Interactive SA CC                                         , 78  ,  Private Security Sector Provident Fund
Mdingwa Security Services                                 , 78  ,  Private Security Sector Provident Fund
Mlobs Security Services                                   , 78  ,  Private Security Sector Provident Fund
Msec Security                                             , 78  ,  Private Security Sector Provident Fund
Nobadula Trading Enterprise CC                            , 78  ,  Private Security Sector Provident Fund
P & J Cleaning & Security Services                        , 78  ,  Private Security Sector Provident Fund
Pangela Protection Services                               , 78  ,  Private Security Sector Provident Fund
People's Hope Safety and Security Services                                                  , 78  ,  Private Security Sector Provident Fund
Remez Holdings                                            , 78  ,  Private Security Sector Provident Fund
Sasolburg Monitoring & Response Unit (Pty) Ltd                                                 , 78  ,  Private Security Sector Provident Fund
Shaza Security                                            , 78  ,  Private Security Sector Provident Fund
Siyanqwena Security Services CC                           , 78  ,  Private Security Sector Provident Fund
Symbiotix Guarding                                        , 78  ,  Private Security Sector Provident Fund
Urban Communication and Security Solutions                                                 , 78  ,  Private Security Sector Provident Fund
Sphere Manufacturing (Pty) Ltd                            , 78  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Aros General Construction                                 , 77  ,  Private Security Sector Provident Fund
Battalio Force Security CC                                , 77  ,  Private Security Sector Provident Fund
Bcs Security Services                                     , 77  ,  Private Security Sector Provident Fund
Bulletforce Security                                      , 77  ,  Private Security Sector Provident Fund
Dimakho Trading and Security Services (Pty) Ltd                                                 , 77  ,  Private Security Sector Provident Fund
Intense Protection and tourist Services CC                , 77  ,  Private Security Sector Provident Fund
Mahlatji Mmetji Cleaning and Security                     , 77  ,  Private Security Sector Provident Fund
PJS Securities                                            , 77  ,  Private Security Sector Provident Fund
Rallele Trading                                           , 77  ,  Private Security Sector Provident Fund
Securitem (Pty) Ltd                                       , 77  ,  Private Security Sector Provident Fund
Xitlhoka Security Services                                , 77  ,  Private Security Sector Provident Fund
Mafube                                                    , 76  ,  Municipal Workers’ Retirement Fund
ASAH CC ta Security Beyond 2000                           , 76  ,  Private Security Sector Provident Fund
Barnard Protection and More                               , 76  ,  Private Security Sector Provident Fund
Bigit Security Services                                   , 76  ,  Private Security Sector Provident Fund
Bloemsec Trust                                            , 76  ,  Private Security Sector Provident Fund
Buffalo Protection Services                               , 76  ,  Private Security Sector Provident Fund
Harama Security Services CC                               , 76  ,  Private Security Sector Provident Fund
Injinga Zokhuselo Security Services                       , 76  ,  Private Security Sector Provident Fund
Kadulele Trading                                          , 76  ,  Private Security Sector Provident Fund
Modise Protection Services                                , 76  ,  Private Security Sector Provident Fund
Mukimbzi Security and Cleaning Services                   , 76  ,  Private Security Sector Provident Fund
Mulamuleli Protection Services CC                         , 76  ,  Private Security Sector Provident Fund
Ocean Dawn Trading & Projects                             , 76  ,  Private Security Sector Provident Fund
Pirot Security Services CC                                , 76  ,  Private Security Sector Provident Fund
Pri-pol Security                                          , 76  ,  Private Security Sector Provident Fund
Quemic Africa (Pty) Ltd                                   , 76  ,  Private Security Sector Provident Fund
Tkr Security Protection & Cleaning Services                                                  , 76  ,  Private Security Sector Provident Fund
Plaza Board Centre (lenasia) (Pty) Ltd                    , 76  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Greater Giyani                                            , 75  ,  Municipal Councillors Pension Fund
Brinant Alarms CC                                         , 75  ,  Private Security Sector Provident Fund
Drakenstein Security and CCTV Room                        , 75  ,  Private Security Sector Provident Fund
MJB Security and Projects CC                              , 75  ,  Private Security Sector Provident Fund
Moshate Protection Services                               , 75  ,  Private Security Sector Provident Fund
Nep Security Services                                     , 75  ,  Private Security Sector Provident Fund
Raid Risk Management                                      , 75  ,  Private Security Sector Provident Fund
RPU (Pty) Ltd                                             , 75  ,  Private Security Sector Provident Fund
Sikeli Security Services                                  , 75  ,  Private Security Sector Provident Fund
Tenview Trading                                           , 75  ,  Private Security Sector Provident Fund
Tshisasa Security Services                                , 75  ,  Private Security Sector Provident Fund
Amahlathi                                                 , 74  ,  Municipal Councillors Pension Fund
Umdoni                                                    , 74  ,  Municipal Councillors Pension Fund
Uthukela                                                  , 74  ,  Municipal Councillors Pension Fund
Add x 550                                                 , 74  ,  Private Security Sector Provident Fund
Amazing Risk and Services                                 , 74  ,  Private Security Sector Provident Fund
Bhukudasnegweya Contracting and Trading Enterprise                                        , 74  ,  Private Security Sector Provident Fund
High Speed Projects                                       , 74  ,  Private Security Sector Provident Fund
Imperani Alarm Services                                   , 74  ,  Private Security Sector Provident Fund
Magma Risk Solution                                       , 74  ,  Private Security Sector Provident Fund
Man on mission                                            , 74  ,  Private Security Sector Provident Fund
Mapengo Security and Cleaning Services CC                                                        , 74  ,  Private Security Sector Provident Fund
P Force Security Services                                 , 74  ,  Private Security Sector Provident Fund
Phaphama Task Force                                       , 74  ,  Private Security Sector Provident Fund
Phoenix k9 and Mounted Security Squad                     , 74  ,  Private Security Sector Provident Fund
QNS Trading and Projects                                  , 74  ,  Private Security Sector Provident Fund
S M E R Security CC                                       , 74  ,  Private Security Sector Provident Fund
T F S Security CC t/a Task Force Security                 , 74  ,  Private Security Sector Provident Fund
Talima Management Services CC                             , 74  ,  Private Security Sector Provident Fund
TSB Security Services 21                                  , 74  ,  Private Security Sector Provident Fund
Vaalharts Sekuritates Dienste                             , 74  ,  Private Security Sector Provident Fund
Vital Security (Pty) Ltd                                  , 74  ,  Private Security Sector Provident Fund
Xtlg Consulting and Projects                              , 74  ,  Private Security Sector Provident Fund
Wimpy Tzaneng Mall                                        , 73  ,  SACCAWU National Provident Fund
Active Blue Trading 225 CC                                , 73  ,  Private Security Sector Provident Fund
Aintree Lane t/a Queensburg Crime Watch                   , 73  ,  Private Security Sector Provident Fund
Amapogo Security (Pty) Ltd                                , 73  ,  Private Security Sector Provident Fund
Bobe Security                                             , 73  ,  Private Security Sector Provident Fund
Bratforce Security and Projects                           , 73  ,  Private Security Sector Provident Fund
Jumas Quality Security Services                           , 73  ,  Private Security Sector Provident Fund
K.T.T Security                                            , 73  ,  Private Security Sector Provident Fund
Londekile Security and Projects CC                        , 73  ,  Private Security Sector Provident Fund
Madyisa Security Services                                 , 73  ,  Private Security Sector Provident Fund
Manche Security Services CC                               , 73  ,  Private Security Sector Provident Fund
Odyssey Security Solutions                                , 73  ,  Private Security Sector Provident Fund
Riot Security Services                                    , 73  ,  Private Security Sector Provident Fund
Status Guard                                              , 73  ,  Private Security Sector Provident Fund
TI Risk Management                                        , 73  ,  Private Security Sector Provident Fund
March Decor and Furnishings (Pty) Ltd                     , 73  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Plaza Board Centre Randfontein CC                         , 73  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Gamagara                                                  , 72  ,  Municipal Councillors Pension Fund
Asandee Security Services                                 , 72  ,  Private Security Sector Provident Fund
Community Surveillance Force                              , 72  ,  Private Security Sector Provident Fund
Hotline Security CC                                       , 72  ,  Private Security Sector Provident Fund
Impi Consultancy (Pty) Ltd                                , 72  ,  Private Security Sector Provident Fund
Imvula Quality Protection (Africa) (Pty) Ltd              , 72  ,  Private Security Sector Provident Fund
Isilo Samabandla Projects CC                              , 72  ,  Private Security Sector Provident Fund
Landile Security                                          , 72  ,  Private Security Sector Provident Fund
Legagana Construction Projects                            , 72  ,  Private Security Sector Provident Fund
Mills Services Group (Pty) Ltd                            , 72  ,  Private Security Sector Provident Fund
Mmaketse Project Management t/a mmaketse Project Management and Services CC                                               , 72  ,  Private Security Sector Provident Fund
La favorite Kitchens CC                                   , 72  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
TJ Promotional & Advertising Consultants                          CC                                                        , 72  , Bargaining Council for the Furniture  Manufacturing Industry of the Western Cape Provident Fund
Babuyile Security and Construction CC                     , 71  ,  Private Security Sector Provident Fund
Barita Ba Bosolo                                          , 71  ,  Private Security Sector Provident Fund
Black Protectors Security Services                        , 71  ,  Private Security Sector Provident Fund
Blue lwandle Projects                                     , 71  ,  Private Security Sector Provident Fund
CGS Corporate Security Services                           , 71  ,  Private Security Sector Provident Fund
Eastern Guard Security CC                                 , 71  ,  Private Security Sector Provident Fund
Elite Close Protection and Security Services                                                  , 71  ,  Private Security Sector Provident Fund
Enthal G Force Security                                   , 71  ,  Private Security Sector Provident Fund
Hlonela Security Services                                 , 71  ,  Private Security Sector Provident Fund
Infinite Security Services                                , 71  ,  Private Security Sector Provident Fund
Lead Security Services                                    , 71  ,  Private Security Sector Provident Fund
Leeuwfontein estates                                      , 71  ,  Private Security Sector Provident Fund
Masego Security                                           , 71  ,  Private Security Sector Provident Fund
Mochobo Executive Guards CC                               , 71  ,  Private Security Sector Provident Fund
Monitor-Net (Pty) Ltd                                     , 71  ,  Private Security Sector Provident Fund
PN Aviation Protection Security (Pty) Ltd                 , 71  ,  Private Security Sector Provident Fund
Sedima Security & Cleaning Services                       , 71  ,  Private Security Sector Provident Fund
Sibu's photo studio                                       , 71  ,  Private Security Sector Provident Fund
Van tonder Security Services                              , 71  ,  Private Security Sector Provident Fund
Joe Gqabi                                                 , 70  ,  Municipal Councillors Pension Fund
Corcomm Sekuriteit                                        , 70  ,  Private Security Sector Provident Fund
Dintsu Tactical Response (Pty) Ltd                        , 70  ,  Private Security Sector Provident Fund
Gardier Security Services Southern Region (Pty) Ltd                                                 , 70  ,  Private Security Sector Provident Fund
Khensani Risk                                             , 70  ,  Private Security Sector Provident Fund
Lwamvila Traders                                          , 70  ,  Private Security Sector Provident Fund
M E Chipu t/a Lesedi Guarding Services and Training                                              , 70  ,  Private Security Sector Provident Fund
Maxi Phumelela Security (Pty) Ltd                         , 70  ,  Private Security Sector Provident Fund
Mmusho Security and Projects CC                           , 70  ,  Private Security Sector Provident Fund
Mnyuzi Trading CC                                         , 70  ,  Private Security Sector Provident Fund
Mzilankala Development and Projects                       , 70  ,  Private Security Sector Provident Fund
Nfene Ndala Business Trading CC                           , 70  ,  Private Security Sector Provident Fund
NZ Security Services (Pty) Ltd                            , 70  ,  Private Security Sector Provident Fund
Online Security Systems CC                                , 70  ,  Private Security Sector Provident Fund
Security Web                                              , 70  ,  Private Security Sector Provident Fund
Seloba Business Enterprise CC                             , 70  ,  Private Security Sector Provident Fund
Sinuku Security (Pty) Ltd                                 , 70  ,  Private Security Sector Provident Fund
SRT Security Services (Pty) Ltd                           , 70  ,  Private Security Sector Provident Fund
Stan Vas Security (Pty) Ltd                               , 70  ,  Private Security Sector Provident Fund
WT Fortuin                                                , 70  ,  Private Security Sector Provident Fund
Donic Creations CC                                        , 70  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund
Amr Security                                              , 69  ,  Private Security Sector Provident Fund
Banjofor                                                  , 69  ,  Private Security Sector Provident Fund
Black mask Trading and Investment CC                      , 69  ,  Private Security Sector Provident Fund
Bokweni Security Services                                 , 69  ,  Private Security Sector Provident Fund
Hlosi Security Solutions                                  , 69  ,  Private Security Sector Provident Fund
Inkanyezi Security Services                               , 69  ,  Private Security Sector Provident Fund
KZN Crime exterminators CC                                , 69  ,  Private Security Sector Provident Fund
Makuya Afguard                                            , 69  ,  Private Security Sector Provident Fund
Masicebise Business Solutions CC                          , 69  ,  Private Security Sector Provident Fund
Mavume Protection and Security Services                   , 69  ,  Private Security Sector Provident Fund
Mtimande Investments t/a Ingwenya Protection Services                                       , 69  ,  Private Security Sector Provident Fund
Oriel Security Services                                   , 69  ,  Private Security Sector Provident Fund
Rajwale Trading and Projects                              , 69  ,  Private Security Sector Provident Fund
Ronnies Professionele Sekuriteit Bpk                      , 69  ,  Private Security Sector Provident Fund
SA Protection and Security Unity                          , 69  ,  Private Security Sector Provident Fund
Securitas Fundoram                                        , 69  ,  Private Security Sector Provident Fund
Securitas Technology                                      , 69  ,  Private Security Sector Provident Fund
SP Security Services                                      , 69  ,  Private Security Sector Provident Fund
Tossel Trade 1003                                         , 69  ,  Private Security Sector Provident Fund
Tsaleshoka Security Services CC                           , 69  ,  Private Security Sector Provident Fund
Vernon Group                                              , 69  ,  Private Security Sector Provident Fund
Vision Monitoring Security Services                       , 69  ,  Private Security Sector Provident Fund
Yellow Horison Security t/a Nyathi Security               , 69  ,  Private Security Sector Provident Fund
Zabanqondo Security Services                              , 69  ,  Private Security Sector Provident Fund
Engeecee CC                                               , 69  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Emnambithi                                                , 68  ,  Municipal Councillors Pension Fund
Charlie West Security Services                            , 68  ,  Private Security Sector Provident Fund
Crime Busters Security                                    , 68  ,  Private Security Sector Provident Fund
Darling Security Services                                 , 68  ,  Private Security Sector Provident Fund
Dudwana Security Services                                 , 68  ,  Private Security Sector Provident Fund
Full Force Security                                       , 68  ,  Private Security Sector Provident Fund
G.I. Holdings t/a Ultimate 1 Security                     , 68  ,  Private Security Sector Provident Fund
ICMC Security                                             , 68  ,  Private Security Sector Provident Fund
Johntelle Verspreiders                                    , 68  ,  Private Security Sector Provident Fund
Jordon Security and Trading                               , 68  ,  Private Security Sector Provident Fund
Lekgopo Le Leso Security Services                         , 68  ,  Private Security Sector Provident Fund
Mugal Security Services                                   , 68  ,  Private Security Sector Provident Fund
Purple Primula 112 CC                                     , 68  ,  Private Security Sector Provident Fund
Skets Projects                                            , 68  ,  Private Security Sector Provident Fund
Viper Security                                            , 68  ,  Private Security Sector Provident Fund
Zero Tolerance Solutions                                  , 68  ,  Private Security Sector Provident Fund
Saravana textiles                                         , 68  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund
Pots and Ornaments CC                                     , 68  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Patricia Louise Scholtz                                   , 68  ,  Bargaining Council for the Furniture Manufacturing Industry of the Western Cape Provident Fund
Renosterberg Local Municipality                           , 67  , Consolidated Retirement Fund for Local  Government
Bravospan 90 CC                                           , 67  ,  Private Security Sector Provident Fund
Bridging the Gap Tactical Security                        , 67  ,  Private Security Sector Provident Fund
Buyisa Security Services                                  , 67  ,  Private Security Sector Provident Fund
Dogs and All                                              , 67  ,  Private Security Sector Provident Fund
Elphash Trading Enterprise                                , 67  ,  Private Security Sector Provident Fund
Kei Protection Services                                   , 67  ,  Private Security Sector Provident Fund
Khwanxisa General Trading CC                              , 67  ,  Private Security Sector Provident Fund
Magcuma Security CC                                       , 67  ,  Private Security Sector Provident Fund
Magena Trading                                            , 67  ,  Private Security Sector Provident Fund
Maqhinga Construction and Projects                        , 67  ,  Private Security Sector Provident Fund
Mgubane Contractors                                       , 67  ,  Private Security Sector Provident Fund
Raloto 757 CC t/a Raloto Guarding Services                                                  , 67  ,  Private Security Sector Provident Fund
Random Harvest Nursery CC                                 , 67  ,  Private Security Sector Provident Fund
Republic Watch (Pty) Ltd                                  , 67  ,  Private Security Sector Provident Fund
Sirius Risk Management Randburg (Pty) Ltd                                                       , 67  ,  Private Security Sector Provident Fund
Vetus Schola k9 & Training (Pty) Ltd                      , 67  ,  Private Security Sector Provident Fund
Zone Specialised Patrol System t/a Zone Guarding                                                  , 67  ,  Private Security Sector Provident Fund
Galloway Woodworks Enterprises CC                         , 67  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Awasheng Consulting                                       , 66  ,  Private Security Sector Provident Fund
B Security and Cleaning Services                          , 66  ,  Private Security Sector Provident Fund
Biyfoce Security and Cleaning Services (Pty) Ltd                                                 , 66  ,  Private Security Sector Provident Fund
Guarding South Africa Gauteng                             , 66  ,  Private Security Sector Provident Fund
Industro Secure (Pty) Ltd                                 , 66  ,  Private Security Sector Provident Fund
Jaga Security Systems CC                                  , 66  ,  Private Security Sector Provident Fund
Kwena Manyane Protection and Training Services                                                  , 66  ,  Private Security Sector Provident Fund
Long Live Projects                                        , 66  ,  Private Security Sector Provident Fund
Night Guards CC                                           , 66  ,  Private Security Sector Provident Fund
Nova Security Solutions                                   , 66  ,  Private Security Sector Provident Fund
Ogechi Trading and Projects                               , 66  ,  Private Security Sector Provident Fund
Omgega Security Services                                  , 66  ,  Private Security Sector Provident Fund
Ship Search Dogs CC                                       , 66  ,  Private Security Sector Provident Fund
Thaba Protection Services                                 , 66  ,  Private Security Sector Provident Fund
B & R Furniture Manufacturers CC                          , 66  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Greater Tzaneen                                           , 65  ,  Municipal Councillors Pension Fund
Buka Hattingh Katlego Security Services (Pty) Ltd                                                 , 65  ,  Private Security Sector Provident Fund
Free Action 004 Trading                                   , 65  ,  Private Security Sector Provident Fund
JM Kganya                                                 , 65  ,  Private Security Sector Provident Fund
JS Holdings 2 (Pty) Ltd                                   , 65  ,  Private Security Sector Provident Fund
Mepho Development Services CC                             , 65  ,  Private Security Sector Provident Fund
PCM and Z Trading Enterprise                              , 65  ,  Private Security Sector Provident Fund
Santim Security                                           , 65  ,  Private Security Sector Provident Fund
Sir no 1 VIP Protection Services                          , 65  ,  Private Security Sector Provident Fund
Ye-Sizwe Security Services CC                             , 65  ,  Private Security Sector Provident Fund
Theron's Foam Craft CC                                    , 65  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Ak 9 JT Protection                                        , 64  ,  Private Security Sector Provident Fund
Gilija Security Services                                  , 64  ,  Private Security Sector Provident Fund
Hi-tech Security Nelspruit                                , 64  ,  Private Security Sector Provident Fund
Join Forces Trading Enterprise                            , 64  ,  Private Security Sector Provident Fund
