employer                 ,outstanding months, Name of Fund
born to protect security services                         , 222 ,  Private Security Sector Provident Fund
c.p.b. security                                           , 222 ,  Private Security Sector Provident Fund
crd security griffin security and investi                 , 222 ,  Private Security Sector Provident Fund
makhahlele security services                              , 222 ,  Private Security Sector Provident Fund
monene security                                           , 222 ,  Private Security Sector Provident Fund
mzilikazi security services                               , 222 ,  Private Security Sector Provident Fund
npb security services                                     , 222 ,  Private Security Sector Provident Fund
phakisa major sport & dev corporation                     , 222 ,  Private Security Sector Provident Fund
sita security                                             , 222 ,  Private Security Sector Provident Fund
bss security services                                     , 221 ,  Private Security Sector Provident Fund
planet ocean cc                                           , 221 ,  Private Security Sector Provident Fund
shameng security & suppliers                              , 221 ,  Private Security Sector Provident Fund
delta force security                                      , 220 ,  Private Security Sector Provident Fund
kgankie construction & security services                  , 220 ,  Private Security Sector Provident Fund
magic labour hire & security                              , 220 ,  Private Security Sector Provident Fund
mountain security                                         , 220 ,  Private Security Sector Provident Fund
ukhetsha security services cc                             , 220 ,  Private Security Sector Provident Fund
grant maher                                               , 219 ,  Private Security Sector Provident Fund
marrigorra protection services                            , 219 ,  Private Security Sector Provident Fund
phangela security                                         , 219 ,  Private Security Sector Provident Fund
risk management services                                  , 219 ,  Private Security Sector Provident Fund
ukhuselo training academy and security cc                 , 219 ,  Private Security Sector Provident Fund
paradimg hr solutions (pty) ltd                           , 218 ,  Private Security Sector Provident Fund
rencap forty cc                                           , 218 ,  Private Security Sector Provident Fund
mabalane contractors suppliers & security                 , 217 ,  Private Security Sector Provident Fund
meshack contractors cc                                    , 217 ,  Private Security Sector Provident Fund
niqua security                                            , 217 ,  Private Security Sector Provident Fund
mfundiso security & training cc                           , 216 ,  Private Security Sector Provident Fund
usizo security services cc                                , 216 ,  Private Security Sector Provident Fund
bophelo security patrols services                         , 215 ,  Private Security Sector Provident Fund
pro-care security                                         , 215 ,  Private Security Sector Provident Fund
seswai business enterprise cc                             , 215 ,  Private Security Sector Provident Fund
silver stars trading 108 cc                               , 215 ,  Private Security Sector Provident Fund
smart sec (pty) ltd                                       , 215 ,  Private Security Sector Provident Fund
triotic protection services                               , 215 ,  Private Security Sector Provident Fund
xolani protection services                                , 215 ,  Private Security Sector Provident Fund
zack-jack security                                        , 215 ,  Private Security Sector Provident Fund
muvhango security                                         , 214 ,  Private Security Sector Provident Fund
nakuru security service                                   , 214 ,  Private Security Sector Provident Fund
r k security systems                                      , 214 ,  Private Security Sector Provident Fund
security sa                                               , 214 ,  Private Security Sector Provident Fund
mj mavo and josi security (pty) ltd                       , 213 ,  Private Security Sector Provident Fund
bull dog security                                         , 212 ,  Private Security Sector Provident Fund
red eagle security                                        , 212 ,  Private Security Sector Provident Fund
imvula quality protection (kzn) (pty)                     , 211 ,  Private Security Sector Provident Fund
independent monitoring centre                             , 211 ,  Private Security Sector Provident Fund
masithulela protection services                           , 211 ,  Private Security Sector Provident Fund
motlhanka security                                        , 211 ,  Private Security Sector Provident Fund
sascor                                                    , 211 ,  Private Security Sector Provident Fund
temoso                                                    , 211 ,  Private Security Sector Provident Fund
thaba alarms                                              , 211 ,  Private Security Sector Provident Fund
gudani protection services                                , 210 ,  Private Security Sector Provident Fund
vimtsire protection                                       , 210 ,  Private Security Sector Provident Fund
electrolarm monitor cc                                    , 209 ,  Private Security Sector Provident Fund
kgosi monene general services                             , 209 ,  Private Security Sector Provident Fund
oblion shield cc                                          , 209 ,  Private Security Sector Provident Fund
paarl ac rottweiler security (pty) ltd                    , 209 ,  Private Security Sector Provident Fund
vossies security                                          , 209 ,  Private Security Sector Provident Fund
boz rapid response and security                           , 208 ,  Private Security Sector Provident Fund
compass guarding                                          , 208 ,  Private Security Sector Provident Fund
eden security services                                    , 208 ,  Private Security Sector Provident Fund
lukhanyo pluto protection services                        , 208 ,  Private Security Sector Provident Fund
sidas security guards (pty) ltd                           , 208 ,  Private Security Sector Provident Fund
sihlangene security & cleaning                            , 208 ,  Private Security Sector Provident Fund
kolobe security services cc                               , 207 ,  Private Security Sector Provident Fund
skyblue security systems cc                               , 207 ,  Private Security Sector Provident Fund
sukuma security services cc                               , 207 ,  Private Security Sector Provident Fund
tresso trading 486 (pty) ltd                              , 207 ,  Private Security Sector Provident Fund
cuitto protection services cc                             , 206 ,  Private Security Sector Provident Fund
el-shaddai security                                       , 206 ,  Private Security Sector Provident Fund
first professional care cc                                , 206 ,  Private Security Sector Provident Fund
golden security services                                  , 206 ,  Private Security Sector Provident Fund
rainbow nation security services cc                       , 206 ,  Private Security Sector Provident Fund
afrizone protection services                              , 205 ,  Private Security Sector Provident Fund
cybed trading 0058 cc                                     , 205 ,  Private Security Sector Provident Fund
global-glad developers (psspf)                            , 205 ,  Private Security Sector Provident Fund
imikhonto protection services                             , 205 ,  Private Security Sector Provident Fund
mbodla security services                                  , 205 ,  Private Security Sector Provident Fund
saber tactical (pty) ltd                                  , 205 ,  Private Security Sector Provident Fund
securitrac cc                                             , 205 ,  Private Security Sector Provident Fund
sibanyoni security services                               , 205 ,  Private Security Sector Provident Fund
tripo security cc                                         , 205 ,  Private Security Sector Provident Fund
ingwempisi security services cc                           , 204 ,  Private Security Sector Provident Fund
nivanco cc/art security zeerust                           , 204 ,  Private Security Sector Provident Fund
royal park security                                       , 204 ,  Private Security Sector Provident Fund
impact loss control                                       , 203 ,  Private Security Sector Provident Fund
ithunzi protection services                               , 203 ,  Private Security Sector Provident Fund
praxos 408 cc                                             , 203 ,  Private Security Sector Provident Fund
r & t security systems                                    , 203 ,  Private Security Sector Provident Fund
sebenzani trading 316 cc                                  , 202 ,  Private Security Sector Provident Fund
tintswalo security services cc                            , 201 ,  Private Security Sector Provident Fund
achievers security                                        , 200 ,  Private Security Sector Provident Fund
kya guards cc (psspf)                                     , 200 ,  Private Security Sector Provident Fund
mjayeli security (pty) ltd                                , 200 ,  Private Security Sector Provident Fund
invincible trading 2                                      , 199 ,  Private Security Sector Provident Fund
peak security services (pty) ltd                          , 199 ,  Private Security Sector Provident Fund
the business zone 607                                     , 199 ,  Private Security Sector Provident Fund
em scholtz enterprises                                    , 198 ,  Private Security Sector Provident Fund
forensic security solutions                               , 198 ,  Private Security Sector Provident Fund
Gwala Security                                            , 198 ,  Private Security Sector Provident Fund
Volsec Security (SA) (Pty) Ltd                            , 198 ,  Private Security Sector Provident Fund
Wenzile Phaphama Trading & Projects                       , 198 ,  Private Security Sector Provident Fund
HDB Security                                              , 197 ,  Private Security Sector Provident Fund
M & A Maths Centre                                        , 197 ,  Private Security Sector Provident Fund
Maximum Risk Protection                                   , 197 ,  Private Security Sector Provident Fund
Motse-pele Security CC                                    , 197 ,  Private Security Sector Provident Fund
Star Force Security Services                              , 197 ,  Private Security Sector Provident Fund
Elukwatini Security CC                                    , 196 ,  Private Security Sector Provident Fund
Mfezi Security Services CC                                , 196 ,  Private Security Sector Provident Fund
Vandamme Security Services                                , 196 ,  Private Security Sector Provident Fund
Colt Security Services                                    , 195 ,  Private Security Sector Provident Fund
Kunjani Security Services                                 , 195 ,  Private Security Sector Provident Fund
Top Ten Catering and Security Services                    , 195 ,  Private Security Sector Provident Fund
Z G S Security Services                                   , 195 ,  Private Security Sector Provident Fund
Ace Securtiry Services                                    , 194 ,  Private Security Sector Provident Fund
GS Security Force CC                                      , 194 ,  Private Security Sector Provident Fund
Midnight Star Trading 160 CC                              , 194 ,  Private Security Sector Provident Fund
Ntshebele Security                                        , 194 ,  Private Security Sector Provident Fund
Akaf Bodyguards                                           , 193 ,  Private Security Sector Provident Fund
Blue Ocean Security Services CC                           , 193 ,  Private Security Sector Provident Fund
Firelight Security & Systems (Sekerheid)                  , 193 ,  Private Security Sector Provident Fund
